ID	Text	Label
1	The product has good build quality	Positive
2	The quality was better than I expected	Positive
3	The instructions were clear and helpful	Positive
4	The support team gave an unhelpful response	Negative
5	The product design is confusing and inconvenient	Negative
6	I received good value for the price	Positive
7	The overall experience was satisfactory	Positive
8	The application is convenient for daily tasks	Positive
9	The movie had a good story and strong acting	Positive
10	The interface is difficult to understand	Negative
11	The delivery was delayed and the package was damaged	Negative
12	The service was reliable when I needed it	Positive
13	The movie was boring and too long	Negative
14	The movie had a weak story and poor acting	Negative
15	The purchase was better than my previous one	Positive
16	I liked the way the company handled my complaint	Positive
17	I am unhappy with the overall experience	Negative
18	The instructions were unclear and confusing	Negative
19	The delivery was late and the package was damaged	Negative
20	The delivery was delayed and the package was damaged	Negative
21	I found the service useful and convenient	Positive
22	The product feels reliable and well made	Positive
23	I found the service inconvenient	Negative
24	The book was difficult to follow and uninteresting	Negative
25	The staff were friendly and professional	Positive
26	I found the service inconvenient	Negative
27	The service was unreliable when I needed it	Negative
28	The book kept me interested until the end	Positive
29	The purchase was better than my previous one	Positive
30	The performance was slow during normal use	Negative
31	The book was interesting and easy to read	Positive
32	The product feels reliable and well made	Positive
33	I had trouble using this application	Negative
34	The website is cluttered and hard to navigate	Negative
35	The product has poor build quality	Negative
36	The website is cluttered and hard to navigate	Negative
37	The service met most of my expectations	Positive
38	I am unhappy with the overall experience	Negative
39	I am glad I decided to try this product	Positive
40	The book provided useful information	Positive
41	The product arrived in good condition	Positive
42	Customer support was helpful and solved my issue	Positive
43	The support team gave an unhelpful response	Negative
44	The book provided useful information	Positive
45	The delivery was slightly delayed but everything arrived safely	Positive
46	The instructions were clear and helpful	Positive
47	The device is easy to set up	Positive
48	I would recommend this service to my friends	Positive
49	I had trouble using this application	Negative
50	The new features made the application harder to use	Negative
51	The product feels reliable and well made	Positive
52	The staff made the experience comfortable	Positive
53	The overall experience was unsatisfactory	Negative
54	The product is good enough for regular use	Positive
55	The product arrived in poor condition	Negative
56	The service was slow and disappointing	Negative
57	The experience was mostly smooth	Positive
58	The service is convenient for busy users	Positive
59	The application generally works without problems	Positive
60	The response from the team was very slow	Negative
61	The quality was better than I expected	Positive
62	The book was interesting and easy to read	Positive
63	I found the service inconvenient	Negative
64	The purchase was worse than my previous one	Negative
65	The application frequently has problems	Negative
66	The service failed to meet my expectations	Negative
67	The service met most of my expectations	Positive
68	The application frequently has problems	Negative
69	The delivery was slightly delayed but everything arrived safely	Positive
70	The book kept me interested until the end	Positive
71	The staff were friendly and professional	Positive
72	I found the service inconvenient	Negative
73	The experience was pleasant overall	Positive
74	The movie had some excellent scenes	Positive
75	I did not get good value for the price	Negative
76	The interface is difficult to understand	Negative
77	The product has good build quality	Positive
